Issue ID,Issue Key,Issue Name,Issue Volume,Category,Severity,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Response Time Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Session Duration in Second,Num Files Accessed,Login Attempts,Data Transfer MB,CPU Usage %,Memory Usage MB,Threat Score,Threat Level,Defense Action,Color,Pred Threat,anomaly_score,is_anomaly,hour,Access Restricted Files
ISSUE-0001,KEY-0001,Inadequate Firewall Configurations,1,Network Security,High,Closed,Reporter 6,Assignee 15,2023-02-04,2023-02-13 00:00:00.000000,9.00000000000002,51.87,Critical,Legal,Steps to resolve Inadequate Firewall Configurations,1102196.0,KPI,User_22,2023-02-04 00:20:00,login,Unknown,USA,1932.0,26.0,21.0,3461.0000000000005,23.606569333432653,3436.0,15.274,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,0,0,False,0,
ISSUE-0002,KEY-0002,Weak Authentication Protocols,1,Access Control,High,Resolved,Reporter 7,Assignee 15,2025-04-05,2025-04-11 00:00:00.000000,6.000000000000041,37.06,Critical,IT,Steps to resolve Weak Authentication Protocols,328327.99999999994,KPI,User_79,2025-04-05 19:28:00,login,FR,FR,900.0,26.0,6.0,659.0000000000002,34.9811966674281,3991.0,12.112,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,0,0,False,19,
ISSUE-0003,KEY-0003,Insufficient Access Control Measures,1,Control Effectiveness,High,Closed,Reporter 2,Assignee 9,2023-10-25,2023-10-27 00:00:00.000000,2.0000000000000417,18.27,Critical,External Contractors,Steps to resolve Insufficient Access Control Measures,1533077.0,KPI,User_82,2023-10-25 08:25:00,file_access,CN,CN,900.0,26.0,10.0,1148.0,52.47686552350853,6761.0,8.303999999999998,High,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,Orange-Red,1,1,True,8,
ISSUE-0004,KEY-0004,Weak Authentication Protocols,1,Access Control,Critical,In Progress,Reporter 6,Assignee 17,2023-10-21,2025-11-23 01:08:23.556405,764.0,71.85000000000001,Critical,Legal,Steps to resolve Weak Authentication Protocols,313307.0,KPI,User_67,2023-10-21 01:49:00,file_access,DE,DE,900.0,28.000000000000004,13.0,3932.0,70.74056026484212,4337.0,19.92,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,0,0,False,1,
ISSUE-0005,KEY-0005,Detected Malware Infiltration in Internal Systems,1,Malware,Critical,Closed,Reporter 3,Assignee 11,2025-11-16,2025-11-25 00:00:00.000000,9.00000000000002,55.88999999999999,Critical,Legal,Steps to resolve Detected Malware Infiltration in Internal Systems,464513.0,KRI,User_7,2025-11-16 08:07:00,login,USA,USA,900.0,26.0,6.0,817.9999999999997,33.101906886196616,3664.0,16.578,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,0,0,False,8,
ISSUE-0006,KEY-0006,Inadequate Firewall Configurations,1,Network Security,Medium,Open,Reporter 3,Assignee 8,2024-06-09,2025-11-23 01:08:23.556405,532.0,65.13,Critical,C-Suite Executives,Steps to resolve Inadequate Firewall Configurations,1593002.5000000002,KPI,User_24,2024-06-09 19:34:00,data_modification,DE,JP,900.0,26.0,21.0,3255.0,73.4650565923816,4470.0,17.326,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,0,0,False,19,
ISSUE-0007,KEY-0007,Inconsistent Review of Security Policies,1,Management Oversight,Critical,Closed,Reporter 4,Assignee 19,2025-07-02,2025-07-03 00:00:00.000000,1.0000000000000209,78.14,Critical,HR,Steps to resolve Inconsistent Review of Security Policies,2365115.0,KPI,User_44,2025-07-02 00:21:00,login,FR,FR,900.0,26.0,10.0,5702.0,42.25332043155294,5555.0,20.628,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,0,0,False,0,
ISSUE-0008,KEY-0008,Weak Cloud Storage Access Controls,1,Cloud Security Posture,High,Closed,Reporter 10,Assignee 1,2023-06-08,2023-06-14 00:00:00.000000,6.000000000000041,41.7,Critical,C-Suite Executives,Steps to resolve Weak Cloud Storage Access Controls,462257.0000000002,KRI,User_95,2023-06-08 12:58:00,data_modification,EU,EU,1034.0,26.0,17.0,2426.0,76.73189809769153,4125.0,13.19,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,0,0,False,12,
ISSUE-0009,KEY-0009,Insufficient Coverage in Annual Risk Assessment,1,Risk Assessment Coverage,Low,Open,Reporter 1,Assignee 1,2025-10-21,2025-11-23 01:08:23.556405,33.000000000000014,41.31,Critical,C-Suite Executives,Steps to resolve Insufficient Coverage in Annual Risk Assessment,998312.5,KPI,User_79,2025-10-21 23:02:00,login,CN,CN,900.0,26.0,12.0,1042.5000000000002,40.65672900474805,7734.0,11.812,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,0,0,False,23,
ISSUE-0010,KEY-0010,Insufficient Access Control Measures,1,Control Effectiveness,Low,Open,Reporter 7,Assignee 16,2025-03-26,2025-11-23 01:08:23.556405,242.0,91.64000000000004,Critical,Finance,Steps to resolve Insufficient Access Control Measures,1397485.0,KPI,User_97,2025-03-26 12:31:00,data_modification,USA,CN,900.0,26.0,6.0,1512.5000000000005,30.101600213165703,3926.0,21.728,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,0,0,False,12,
