Issue ID,Issue Key,Issue Name,Issue Volume,Category,Severity,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Response Time Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Session Duration in Second,Num Files Accessed,Login Attempts,Data Transfer MB,CPU Usage %,Memory Usage MB,Threat Score,Threat Level,Defense Action,Color,Pred Threat,anomaly_score,is_anomaly,hour,Access Restricted Files
ISSUE-0001,KEY-0001,Unauthorized Access Leading to Data Exposure,1,Data Breach,Low,Closed,Reporter 7,Assignee 16,2023-12-07,2023-12-11 00:00:00.000000,4.00000000000002,31.66,Critical,Operations,Steps to resolve Unauthorized Access Leading to Data Exposure,542937.4999999999,KRI,User_87,2023-12-07 03:22:00,file_access,JP,JP,1002.0,26.000000000000004,6.0,3419.9999999999995,34.41755616503208,7717.0,9.682,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,0,0,False,3,
ISSUE-0002,KEY-0002,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,Low,In Progress,Reporter 1,Assignee 4,2023-05-05,2025-09-19 22:15:24.985808,868.0000000000001,53.82,Critical,External Contractors,Steps to resolve Increased Exposure due to Insufficient Data Encryption,1861365.0,KRI,User_93,2023-05-05 02:23:00,file_access,AU,AU,1649.0,26.000000000000004,9.0,2825.0,38.3681150101602,7828.0,14.314,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,0,0,False,2,
ISSUE-0003,KEY-0003,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Medium,Closed,Reporter 3,Assignee 6,2024-05-03,2024-05-08 00:00:00.000000,5.000000000000026,72.73000000000002,Critical,Finance,Steps to resolve Non-Compliance with Data Protection Regulations,494674.9999999999,KRI,User_26,2024-05-03 14:06:00,data_modification,AU,AU,2190.0,26.000000000000004,6.0,1022.4999999999998,21.42935412312785,4263.0,18.496,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,0,0,False,14,
ISSUE-0004,KEY-0004,Insufficient Coverage in Annual Risk Assessment,1,Risk Assessment Coverage,Low,Resolved,Reporter 3,Assignee 17,2025-06-22,2025-06-26 00:00:00.000000,4.00000000000002,60.01,Critical,Operations,Steps to resolve Insufficient Coverage in Annual Risk Assessment,1867942.5,KPI,User_66,2025-06-22 12:10:00,file_access,USA,USA,907.0,36.0,18.0,2692.5000000000005,33.89629815710752,6366.0,15.352,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,0,0,False,12,
ISSUE-0005,KEY-0005,Inconsistent Review of Security Policies,1,Management Oversight,High,In Progress,Reporter 7,Assignee 13,2024-03-28,2025-09-19 22:15:24.985808,539.9999999999999,71.01,Critical,C-Suite Executives,Steps to resolve Inconsistent Review of Security Policies,353101.99999999994,KPI,User_63,2024-03-28 09:15:00,login,DE,DE,900.0,42.0,3.0,3122.0,53.05994838560749,5927.0,18.902,Critical,Escalate to Security Operations Center (SOC) & Block User | Limit Data Transfer,Red,0,0,False,9,
ISSUE-0006,KEY-0006,Access by Unauthorized Personnel Detected,1,Unauthorized Access,Low,Closed,Reporter 6,Assignee 10,2024-10-23,2024-10-29 00:00:00.000000,6.000000000000031,29.11,Critical,Legal,Steps to resolve Access by Unauthorized Personnel Detected,1136765.0,KRI,User_44,2024-10-23 17:38:00,login,Unknown,Unknown,958.0,33.0,12.0,2652.4999999999995,73.61831989369153,6883.0,9.322,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,0,0,False,17,
ISSUE-0007,KEY-0007,Access by Unauthorized Personnel Detected,1,Unauthorized Access,High,In Progress,Reporter 1,Assignee 7,2023-05-30,2025-09-19 22:15:24.985808,843.0000000000001,56.150000000000006,Critical,Finance,Steps to resolve Access by Unauthorized Personnel Detected,2170745.0,KRI,User_48,2023-05-30 04:05:00,data_modification,JP,EU,1973.0,26.000000000000004,13.0,1375.9999999999998,42.95343190133633,3419.0,16.13,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,0,0,False,4,
ISSUE-0008,KEY-0008,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,High,Open,Reporter 5,Assignee 6,2025-08-17,2025-09-19 22:15:24.985808,33.000000000000014,90.56,Critical,External Contractors,Steps to resolve Missing or Inaccurate Asset Records,326012.0,KPI,User_33,2025-08-17 21:31:00,data_modification,UK,UK,900.0,26.000000000000004,9.999999999999998,1897.9999999999995,47.72919214100192,5532.0,23.012,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,0,0,False,21,
ISSUE-0009,KEY-0009,Successful Phishing Attempt Targeting Executives,1,Phishing Attack,Critical,In Progress,Reporter 9,Assignee 14,2023-10-16,2025-09-19 22:15:24.985808,704.0000000000002,62.690000000000005,Critical,Finance,Steps to resolve Successful Phishing Attempt Targeting Executives,2122814.0,KRI,User_46,2023-10-16 21:28:00,file_access,DE,DE,1892.0,26.000000000000004,21.0,10790.0,65.34269519112338,7531.0,18.238,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,0,0,False,21,
ISSUE-0010,KEY-0010,Successful Phishing Attempt Targeting Executives,1,Phishing Attack,Critical,Open,Reporter 1,Assignee 20,2023-07-02,2025-09-19 22:15:24.985808,810.0000000000001,72.43999999999998,Critical,Legal,Steps to resolve Successful Phishing Attempt Targeting Executives,1255844.0000000002,KRI,User_56,2023-07-02 22:28:00,login,CN,CN,900.0,26.000000000000004,9.999999999999998,4927.999999999999,42.005268974309246,7248.0,20.038,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,0,0,False,22,
ISSUE-0011,KEY-0011,Insufficient Access Control Measures,1,Control Effectiveness,Critical,Open,Reporter 7,Assignee 16,2023-05-03,2025-09-19 22:15:24.985808,870.0000000000001,41.04,Critical,Sales,Steps to resolve Insufficient Access Control Measures,1931150.0,KPI,User_25,2023-05-03 00:05:00,data_modification,Unknown,Unknown,900.0,26.000000000000004,6.0,1135.9999999999998,63.93398674028982,5046.0,13.758,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,0,0,False,0,
ISSUE-0012,KEY-0012,Insufficient Access Control Measures,1,Control Effectiveness,Medium,Closed,Reporter 10,Assignee 17,2024-06-28,2024-07-03 00:00:00.000000,5.000000000000026,66.38,Critical,HR,Steps to resolve Insufficient Access Control Measures,588677.4999999998,KPI,User_95,2024-06-28 11:48:00,file_access,JP,JP,1553.0,26.000000000000004,12.0,2995.0000000000005,56.902566614879,7300.0,17.376,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,0,0,False,11,
